,#,gender,years_from_grad,age,highest_education,prework_issues,self_report_languages,self_report_math,household_income,total_usr,total_views,views_in_test,time_taken,cog_irt,learn_irt,comp_irt
0,qg7ifqwya61lvqg7iedfxmm2ivahzx9u,Female,-1,23,2,0,5,6,2,28,10.0,0.0,92,1.8541676137535,1.25887039885306,1.53781194601344
1,a7l5y9c67ub6ya7l5ye3w7dahzoj5djw,Female,-1,22,2,0,6,6,3,30,3.0,0.0,81,1.93496093666155,0.988025575969575,0.173256923959035
2,9g95wdncrr17wblvp419g95wdqtjuxcu,Male,1,25,2,0,5,5,1,24,8.0,0.0,50,0.659283806930086,-0.0922487210391735,-0.584554156710885
3,qjrnybmgex9rw0u89qjrnx2dbh5sg0wx,Female,3,26,2,0,5,6,2,30,3.0,0.0,69,1.24375960276882,1.25887039885306,1.53781194601344
4,kic74l8gwguk7ne7kid3bag065jw7q2u,Male,-2,20,2,0,5,6,2,24,3.0,0.0,52,1.32566092359006,0.529536896132089,0.80000079169625
5,771g67z117fo0fmf2e7771gkkrj4bifn,Female,14,36,3,0,6,5,3,26,8.0,0.0,93,0.883918881346113,1.081714394569,1.28254432216353
6,h7jw19ubkziicsywgxsld4h7jw19d77b,Female,1,22,2,1,5,5,1,19,6.0,0.0,69,1.48658684553644,0.328659176464592,-0.160155598029831
7,9a711hszkf69ehrk9a71eitfix7439y6,Male,5,27,2,0,5,6,2,20,2.0,0.0,17,1.16724908179453,0.194559786972832,1.39747957679726
8,c804v7zb0djip2cssapx5c704adqtlvg,Male,2,25,2,0,5,5,3,26,6.0,0.0,92,1.59879595782269,-0.0777015171895683,-0.338012018209279
9,m7owz40u2m718gm7oltoi550mempzawq,Male,0,21,1,0,5,4,3,26,2.0,0.0,84,1.31575515277687,0.666788490317163,-0.0502327241350968
10,bi822fo62lb9sdllcbi822fog17d7gkf,Male,-2,21,1,1,5,5,1,28,10.0,0.0,90,0.885533802387175,1.21275545904692,1.0573862292674
11,2anzv81bzzwmn5dhgf2anz8s9hhuj06m,Female,-1,23,2,0,5,5,3,20,4.0,0.0,75,1.34164641690447,0.581336696610569,0.173256923959035
12,tigq3o9sodcm7tigqwp5rtde9llv2ejf,Male,-2,21,2,1,5,6,1,22,4.0,1.0,76,1.31144634560823,-0.584445279775673,-0.280648450344404
13,p2y993ce465mum2cn0ea1p2y993qrs2z,Male,4,29,3,0,6,5,3,30,3.0,0.0,70,1.09392143108737,0.509014370928183,0.188347998263876
14,os09rkdpzat9cak8zc6os09cqentfoue,Male,-1,22,1,0,5,6,1,29,7.0,2.0,85,1.1928505422239,0.566066968783456,0.989589446859714
15,yc7iuwd8nrmy5xyc7iuw4st8z0wpe7dp,Male,0,24,2,1,6,2,3,27,1.0,0.0,79,0.248338133786004,1.22315091533612,1.09014877582476
16,8qbza1pkxre26ocljhtq0vsbu8qbzajn,Female,4,26,2,0,6,6,1,28,5.0,0.0,82,0.26035008989853,1.77604659543874,1.45489053347971
17,8wom232epgmbo5z02sap8womg05jbqms,Male,3,26,2,0,6,6,1,29,3.0,0.0,62,0.745227489696038,0.195264480389101,-0.0869894263856664
18,5pl0146svv2nmct8ki35pl0fx50wb4bl,Female,9,32,2,1,5,6,3,20,4.0,0.0,64,0.565621747662286,0.829148851791803,0.117325772297381
19,6k8hrwpztyhilpb56k8hrwzeviegk69d,Male,1,23,2,0,5,6,1,15,1.0,0.0,59,0.582047421996817,-0.208017175379262,-0.377981443944466
20,yxc32mgdmkqs8f45ayxc32flj4ugpbss,Female,-1,25,3,1,5,5,1,22,7.0,0.0,39,0.569732386985766,0.224894165002342,0.007248811923073
21,edvmd6hv1ctei7bwqz79edvmd6hv4o0k,Male,0,24,2,0,5,6,3,25,7.0,0.0,56,0.945190172923138,0.0477143610462279,-0.123498840442413
