"","items.a1","items.d","items.g","items.u","means","F1"
"item 1",0.656469645710629,-0.770526096870819,0,1,0,1
"item 2",0.426045655778578,0.209307453031599,0,1,0,1
"item 3",0.39112096674025,-1.80024416328869,0,1,0,1
"item 4",0.578021827552064,-0.663574017756814,0,1,0,1
"item 5",0.0778712560284248,-1.76860792519285,0,1,0,1
"item 6",1.11924312814244,-0.495384102597975,0,1,0,1
"item 7",0.806124673017937,-0.350528501857473,0,1,0,1
"item 8",1.29533107558769,1.15837576361118,0,1,0,1
"item 9",-0.236174325973341,-0.323339253789954,0,1,0,1
"item 10",0.318619073057506,-0.296108102630995,0,1,0,1
"item 11",0.117793122921956,-0.350229269047107,0,1,0,1
"item 12",2.70731168953643,3.62234714444448,0,1,0,1
"item 13",4.17537178666406,3.99404399453711,0,1,0,1
"item 14",4.42111463377432,3.50716037331186,0,1,0,1
"item 15",4.79546811200411,3.42291762676294,0,1,0,1
"item 16",0.887818808601944,0.203927854306854,0,1,0,1
"item 17",-0.392007550497692,-0.218097048203414,0,1,0,1
"item 18",-0.103260861365093,-0.0536472426467336,0,1,0,1
"item 19",-0.131817929270941,-1.26223927821208,0,1,0,1
"item 20",0.581687846948621,-0.687155650848072,0,1,0,1
"item 21",0.556435045137975,-0.119129473129595,0,1,0,1
"item 22",-0.141961180335791,-0.97417560423844,0,1,0,1
"item 23",0.576803496461114,-0.539169811218707,0,1,0,1
"item 24",0.305962542517124,-1.34156425355806,0,1,0,1
"item 25",0.0330512310292597,-1.24371744873482,0,1,0,1
"item 26",0.513247437859681,-0.264175721820476,0,1,0,1
