"","items.a1","items.d","items.g","items.u","means","F1"
"item 1",1.10607608183716,2.2391757405637,0,1,0,1
"item 2",0.499848425750551,-1.23794244234957,0,1,0,1
"item 3",0.781641465500719,-0.38310000043734,0,1,0,1
"item 4",1.17086240375377,0.669731549932182,0,1,0,1
"item 5",0.284860813142741,0.0249207494519838,0,1,0,1
"item 6",1.02989368052148,0.248210484278816,0,1,0,1
"item 7",0.427099573824675,-0.239388493590612,0,1,0,1
"item 8",0.565688533117503,-0.696335808752913,0,1,0,1
"item 9",0.0772502337975019,-1.33121288894553,0,1,0,1
"item 10",0.305918890460386,-1.01535306791323,0,1,0,1
"item 11",0.328343101098054,0.733332556759541,0,1,0,1
"item 12",0.141504317637187,-0.588354037922483,0,1,0,1
"item 13",0.177326504777341,-0.632883127196594,0,1,0,1
"item 14",0.353408045475574,-0.668628704012155,0,1,0,1
"item 15",0.598763345767301,2.5177239695804,0,1,0,1
"item 16",0.911939375416853,0.641745176117225,0,1,0,1
"item 17",1.25442094307406,0.634413666118614,0,1,0,1
"item 18",0.993485420762501,0.534083271854088,0,1,0,1
"item 19",1.01595569809228,-0.433295996485881,0,1,0,1
"item 20",1.05324551612385,1.28910396946281,0,1,0,1
"item 21",0.666795957797509,0.726806911982571,0,1,0,1
"item 22",1.2904993143433,3.16953663096686,0,1,0,1
"item 23",0.9695313483052,1.74757313566407,0,1,0,1
"item 24",1.02614312365944,2.21282484821079,0,1,0,1
"item 25",0.364918859755995,-0.528163351246065,0,1,0,1
"item 26",0.349515018608593,-0.195796139241641,0,1,0,1
