,#,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17,item 18,item 19,item 20,item 21,item 22,item 23,item 24,item 25,item 26
0,l57iwxvbsb30sjpuy45hil57iwntda7l,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1
1,hml6linh2hxbyusch5khml6lxf31xwnj,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1
2,mxyvt2njz01ozvgiam0y5jmxyvt2dsw5,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
3,er329a654xjyg4w954ccpaer329az2ct,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1
4,lqmsqqqpqf86dkqi63rtgep7lqmsqqng,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
5,zgz99euhlazikmeym4izgz99eu797hm0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0
6,jttlvk8lin0b45zhm2jttlvkjue38spn,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1
7,c5d284y0lbntgkk3c5d284oztrpbtp3o,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
8,ey17flrkpgpere6a9oey17ndj3ot2nyn,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
9,20kwiyjcppv600bcn520kwicwgz1lf19,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
10,co3812bm0p19rouqtbimt3ajco38122q,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0
11,zpzv7dm2n9uy1qnyb6orzpzv7mkcsz9m,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1
12,xvpng2nv9mfvscxvphl8clw8m2vd783m,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
13,63v9knrd3al1qervaj63vxocafk7h55z,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
14,2trhovawercokmtln1e97112trhovaw2,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0
15,g6qcsjhp0ksj4vq66g6qcsu386uwm44z,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0
16,vbeyhmfo1vau9f24tvcvbeyhm0hwytq5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
17,1drqazmezh5lyzw1drqeijyjiaghupul,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
18,875nfbagpbkjqwyehi875nfbknlbdvgo,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
19,qhsy1rwydskpr5kbjl9qhsy1rw22mpw3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
20,32rcnt93k8yh5wsv9132rsapf7mamzn9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,va7x5zm3koad9y3khova7x5qrxw5ylw1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0
22,2b6xmqc53oldbsg2b6xgun5jf0x1zrnl,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
23,npnyhbkdo9jl7e7mnpnyhbkzrit0d15v,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
