,#,country,gender,age,household_income,education_level,years_from_grad,previous_lang_perf,previous_math_perf,time_in_mins,percent_viewed,views_number,learn_scores,cog_scores
0,l57iwxvbsb30sjpuy45hil57iwntda7l,Kenya,Male,23,1,2,0.0,5,5,62,1.205,1.0,0.606953837767116,1.20440365281476
1,hml6linh2hxbyusch5khml6lxf31xwnj,Kenya,Male,28,1,2,6.0,5,5,39,100.0,1.0,-0.923318495247204,-0.0747726274096635
2,mxyvt2njz01ozvgiam0y5jmxyvt2dsw5,Kenya,Male,29,2,2,-1.0,4,5,95,28.045,6.0,0.969199121041479,-1.39369367236651
3,n5mkklp55cke9kkpjn5mkk35oit8htru,Kenya,Male,21,2,2,-2.0,5,5,1,100.0,2.5,0.500108860496276,1.1247011300311
4,er329a654xjyg4w954ccpaer329az2ct,Kenya,Male,29,1,2,5.0,5,5,91,99.815,1.0,-0.0570072231787385,-0.0980853203386127
5,lqmsqqqpqf86dkqi63rtgep7lqmsqqng,Kenya,Male,32,2,2,8.0,4,4,91,64.11,1.5,-1.00846969441874,0.295806384243605
6,zgz99euhlazikmeym4izgz99eu797hm0,Kenya,Female,22,1,2,0.0,4,5,58,50.54,1.0,-0.497429716767835,0.669481632543313
7,jttlvk8lin0b45zhm2jttlvkjue38spn,Kenya,Male,28,4,2,6.0,5,5,4,100.0,1.0,-0.860460584439345,0.0908958401200786
8,c5d284y0lbntgkk3c5d284oztrpbtp3o,Egypt,Male,24,1,2,1.0,4,4,18,100.0,1.0,-1.45582202390833,-1.43740707459158
9,ey17flrkpgpere6a9oey17ndj3ot2nyn,Kenya,Male,25,1,2,3.0,5,5,32,94.175,1.0,-0.0990079041941946,-1.48308961841734
10,20kwiyjcppv600bcn520kwicwgz1lf19,Kenya,Male,23,1,2,0.0,5,4,26,95.24,1.5,0.0520811081594333,-1.68029535659098
11,lvinkgz4r6quz434r4lvinkg441qqd67,Zimbabwe,Female,22,5,2,0.0,5,5,1,93.6,3.0,-0.664639644202276,-1.88615334959695
12,co3812bm0p19rouqtbimt3ajco38122q,Kenya,Male,30,1,2,5.0,5,5,31,3.85,1.0,-0.405853794543041,-1.11077988502406
13,zpzv7dm2n9uy1qnyb6orzpzv7mkcsz9m,Botswana,Female,28,1,2,4.0,5,5,106,99.525,4.5,-0.127576273678752,0.735683018298108
14,xvpng2nv9mfvscxvphl8clw8m2vd783m,Morocco,Male,19,2,2,-4.0,5,5,95,56.775,1.5,1.21629604344665,0.746662436841672
15,mji6or0ulw3wj23koiokbmji6jmw2m4a,Sudan,Female,26,1,2,0.0,3,4,5,100.0,3.5,0.441154564646679,-1.73889008593645
16,63v9knrd3al1qervaj63vxocafk7h55z,Burundi,Male,29,1,3,1.0,5,5,63,50.605,1.0,-1.23978570432946,-1.07070497198582
17,2trhovawercokmtln1e97112trhovaw2,Kenya,Male,24,1,3,-1.0,5,5,70,34.650000000000006,1.0,0.934012304817344,-0.197941376818714
18,g6qcsjhp0ksj4vq66g6qcsu386uwm44z,Kenya,Female,27,5,2,4.0,5,5,89,99.8,1.5,0.097005690193457,0.473750592750541
19,vbeyhmfo1vau9f24tvcvbeyhm0hwytq5,Kenya,Female,29,1,1,6.0,4,2,28,1.685,1.0,-1.76988091035904,-0.984875716658673
20,1drqazmezh5lyzw1drqeijyjiaghupul,Kenya,Female,26,5,2,2.0,5,3,20,98.335,1.0,-0.484779889209078,-0.806463159788602
21,875nfbagpbkjqwyehi875nfbknlbdvgo,Kenya,Male,35,1,2,1.0,5,4,43,57.59,1.0,-1.84080627820397,-0.989753699570762
22,qhsy1rwydskpr5kbjl9qhsy1rw22mpw3,Kenya,Male,28,1,1,1.0,5,3,17,53.7,1.0,-1.35781307762034,-1.77786393506665
23,32rcnt93k8yh5wsv9132rsapf7mamzn9,Kenya,Female,31,2,2,5.0,5,4,55,100.0,1.0,-1.474353275632,-0.673947307890603
24,va7x5zm3koad9y3khova7x5qrxw5ylw1,Kenya,Female,27,1,2,4.0,4,5,39,100.0,3.5,-0.408647430065144,0.4138489857339
25,2b6xmqc53oldbsg2b6xgun5jf0x1zrnl,Nigeria,Female,29,1,2,6.0,5,5,87,84.565,1.5,0.56216338237087,-1.29040305803477
26,npnyhbkdo9jl7e7mnpnyhbkzrit0d15v,Kenya,Male,22,1,1,-1.0,5,5,83,99.94,1.0,0.862585344679623,0.287707194164808
27,9ablclps7lqgjwgma9ablj7h7z7b3ir2,Kenya,Female,25,3,2,0.0,4,3,135,100.0,1.5,1.05845537877655,-0.804494216245171
28,7uvnzwpuw5trwkkbw7uhw9r5dfqqtoiu,Cameroon,Female,35,1,3,1.0,5,4,62,99.86,2.0,-0.237179975358663,-0.876446161860519
